City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
134,havre,49.5833,0.3333,8.87,87,75,7.2,FR,1682283121
135,mulanje,-16.0316,35.5,18.62,79,8,1.99,MW,1682283121
136,zaysan,47.4667,84.8667,6.81,37,93,0.76,KZ,1682283122
137,manjeshvar,12.7,74.8833,25.38,82,10,2.39,IN,1682283122
138,sandersville,32.9815,-82.8101,24.75,30,27,2.85,US,1682282933
139,tarrafal de sao nicolau,16.5667,-24.3667,22.14,74,7,9.21,CV,1682283123
140,nova olimpia,-14.7972,-57.2881,24.32,92,100,0.5,BR,1682283123
141,olonkinbyen,70.9221,-8.7187,-4.38,59,25,6.37,SJ,1682283123
142,lompoc,34.6391,-120.4579,23.16,76,100,10.28,US,1682283032
143,chonchi,-42.6128,-73.8092,13.95,81,89,0.79,CL,1682283123
144,east london,-33.0153,27.9116,20.29,63,100,3.82,ZA,1682283124
145,waverly,42.7392,-84.6208,8.3,53,100,6.17,US,1682283124
146,kerikeri,-35.2268,173.9474,16.06,96,44,3.96,NZ,1682283124
147,piti village,13.4626,144.6933,27.49,88,75,6.69,GU,1682283124
148,yamada,39.4667,141.95,5.5,55,100,2.68,JP,1682283125
149,atafu village,-8.5421,-172.5159,28.64,72,42,2.15,TK,1682283125
150,colonia,50.9333,6.95,13.31,74,40,3.09,DE,1682283125
151,shache,38.4167,77.2406,14.28,28,0,1.93,CN,1682283125
152,kodinar,20.7903,70.7031,25.53,79,15,4.8,IN,1682283126
153,college,64.8569,-147.8028,-9.12,53,100,8.75,US,1682283126
154,masaka,-0.3338,31.7341,17.11,97,100,2.36,UG,1682283126
155,georgetown,5.4112,100.3354,26.96,94,20,3.09,MY,1682283127
156,palapag,12.5458,125.1147,25.1,90,88,2.21,PH,1682283127
157,cadale,2.7603,46.3222,28.68,75,100,3.58,SO,1682283127
158,semenov,56.7875,44.493,10.67,60,73,1.98,RU,1682283128
159,chiredzi,-21.05,31.6667,21.67,48,67,2.01,ZW,1682283128
160,zeya,53.75,127.2667,-3.23,66,15,2.4,RU,1682283128
161,figuig (centre),32.1089,-1.2286,22.25,33,92,1.05,MA,1682283129
